region,country.code,economy,year,survey.name,survey.year,survey.coverage,datatype,comparability,dep.monetary,edu.attainment,edu.enrollment,infra.electricity,infra.sanitation,infra.drinkWater,dep.mpi
OHI,BEL,Belgium,2017,EU-SILC,2018,N,i,2,0.3,1.9,,0.0,0.9,0.3,2.2
OHI,BEL,Belgium,2018,EU-SILC,2019,N,i,2,0.2,0.5,,0.0,0.7,0.3,0.7
OHI,BEL,Belgium,2019,EU-SILC,2020,N,i,2,0.2,0.6,,0.0,0.7,0.4,0.8
SSA,BEN,Benin,2015,EMICOV,2015,N,c,1,49.6,61.6,25.5,69.0,70.7,26.9,71.8
SSA,BEN,Benin,2018,EHCVM,2018,N,c,2,19.2,50.2,31.5,54.3,80.0,22.1,53.1
SSA,BFA,Burkina Faso,2014,EMC,2014,N,c,3,43.8,64.7,58.0,79.3,63.3,20.6,74.0
SSA,BFA,Burkina Faso,2018,EHCVM,2018,N,c,4,33.7,56.4,50.9,47.2,69.6,19.7,61.4
SAS,BGD,Bangladesh,2016,HIES,2016,N,c,2,14.3,22.0,8.4,23.6,54.5,2.8,21.2
ECA,BGR,Bulgaria,2012,EU-SILC,2013,N,i,5,2.2,1.3,,0.0,21.3,13.8,3.1
ECA,BGR,Bulgaria,2013,EU-SILC,2014,N,i,5,1.8,0.9,,0.0,20.6,12.5,2.6
ECA,BGR,Bulgaria,2014,EU-SILC,2015,N,i,5,1.6,1.2,,0.0,18.6,11.6,2.5
ECA,BGR,Bulgaria,2015,EU-SILC,2016,N,i,5,3.4,1.0,,0.0,18.5,11.2,4.0
ECA,BGR,Bulgaria,2016,EU-SILC,2017,N,i,6,1.9,1.0,,0.0,16.7,10.4,2.7
ECA,BGR,Bulgaria,2017,EU-SILC,2018,N,i,6,1.4,0.7,,0.0,15.3,9.4,2.0
ECA,BGR,Bulgaria,2018,EU-SILC,2019,N,i,6,0.9,0.8,,0.0,13.7,7.9,1.5
ECA,BGR,Bulgaria,2019,EU-SILC,2020,N,i,6,0.9,0.6,,0.0,13.2,7.4,1.4
ECA,BLR,Belarus,2012,HHS,2012,N,c,1,0.0,0.0,,,13.2,10.9,10.7
ECA,BLR,Belarus,2013,HHS,2013,N,c,1,0.0,0.0,,,10.6,8.7,8.6
ECA,BLR,Belarus,2014,HHS,2014,N,c,1,0.0,0.0,,,9.0,7.4,7.4
ECA,BLR,Belarus,2017,HHS,2017,N,c,1,0.0,0.0,,,6.8,5.1,5.0
ECA,BLR,Belarus,2018,HHS,2018,N,c,1,0.0,0.0,,,5.3,4.4,4.3
ECA,BLR,Belarus,2019,HHS,2019,N,c,1,0.0,0.0,,,4.6,3.3,3.2
LAC,BOL,Bolivia,2012,EH,2012,N,i,4,8.2,17.7,3.1,8.9,27.6,8.9,12.9
LAC,BOL,Bolivia,2013,EH,2013,N,i,4,6.9,16.7,3.1,9.5,26.4,8.7,12.2
LAC,BOL,Bolivia,2014,EH,2014,N,i,4,5.7,18.4,4.3,9.6,32.6,7.9,11.9
LAC,BOL,Bolivia,2015,EH,2015,N,i,4,6.3,15.2,3.8,8.4,26.6,10.8,11.3
LAC,BOL,Bolivia,2016,EH,2016,N,i,4,7.5,16.8,3.0,7.3,21.7,11.7,12.7
LAC,BOL,Bolivia,2017,EH,2017,N,i,4,6.5,16.2,1.2,7.2,22.3,9.7,10.9
LAC,BOL,Bolivia,2018,EH,2018,N,i,4,4.9,15.3,1.6,6.2,19.8,9.4,9.8
LAC,BOL,Bolivia,2019,EH,2019,N,i,4,3.2,13.2,2.2,4.9,16.3,7.4,6.6
LAC,BOL,Bolivia,2020,EH,2020,N,i,4,4.4,14.1,2.1,4.4,17.9,6.6,7.8
LAC,BRA,Brazil,2016,PNADC-E1,2016,N,i,1,4.1,17.2,0.6,0.2,36.5,2.0,5.1
LAC,BRA,Brazil,2017,PNADC-E1,2017,N,i,1,4.7,16.6,0.6,0.2,36.0,2.1,5.6
LAC,BRA,Brazil,2018,PNADC-E1,2018,N,i,1,4.7,15.8,0.5,0.3,35.9,1.8,5.4
LAC,BRA,Brazil,2019,PNADC-E1,2019,N,i,1,4.9,15.0,0.4,0.2,34.3,1.8,5.6
SAS,BTN,Bhutan,2012,BLSS,2012,N,c,1,2.2,50.0,6.5,12.9,33.8,1.7,11.1
SAS,BTN,Bhutan,2017,BLSS,2017,N,c,1,1.5,40.8,4.1,1.9,14.3,0.4,3.9
SSA,BWA,Botswana,2015,BMTHS,2015,N,c,1,14.1,8.2,4.2,35.5,52.0,3.7,20.0
